week_start,approving,disapproving,unsure_or_no_data,BusinessApplications,ConstructionSpending,DurableGoodsNewOrders,InternationalTrade_Exports,ManuInventories,ManuNewOrders,NewHomesForSale,NewHomesSold,ResConstPermits,ResConstUnitsCompleted,ResConstUnitsStarted,RetailInventories,SalesForRetailAndFood,WholesaleInventories,orders_outcome_var
2007-06-03,32.0,63.5,4.5,221338,1163511,228868,137312,540804,446539,542,793,1407,1481,1448,496146,368154,408205,0
2007-06-10,32.0,63.5,4.5,221338,1163511,228868,137312,540804,446539,542,793,1407,1481,1448,496146,368154,408205,0
2007-06-24,32.0,63.5,4.5,221338,1163511,228868,137312,540804,446539,542,793,1407,1481,1448,496146,368154,408205,0
2007-06-17,32.0,63.5,4.5,221338,1163511,228868,137312,540804,446539,542,793,1407,1481,1448,496146,368154,408205,2
2015-09-20,46.75,49.5,3.75,240180,1163937,217818,189155,641387,443626,224,456,1144,1040,1224,583418,448090,602275,0
2015-09-27,46.75,49.5,3.75,240180,1163937,217818,189155,641387,443626,224,456,1144,1040,1224,583418,448090,602275,0
2015-09-13,46.75,49.5,3.75,240180,1163937,217818,189155,641387,443626,224,456,1144,1040,1224,583418,448090,602275,4
2015-09-06,46.75,49.5,3.75,240180,1163937,217818,189155,641387,443626,224,456,1144,1040,1224,583418,448090,602275,8
2005-11-27,38.333333333333336,57.333333333333336,4.333333333333333,222495,1172090,220733,111462,470206,421486,502,1214,2218,1907,2147,467074,347325,363476,0
2005-11-13,38.333333333333336,57.333333333333336,4.333333333333333,222495,1172090,220733,111462,470206,421486,502,1214,2218,1907,2147,467074,347325,363476,0
2005-11-06,38.333333333333336,57.333333333333336,4.333333333333333,222495,1172090,220733,111462,470206,421486,502,1214,2218,1907,2147,467074,347325,363476,0
2005-11-20,38.333333333333336,57.333333333333336,4.333333333333333,222495,1172090,220733,111462,470206,421486,502,1214,2218,1907,2147,467074,347325,363476,3
2016-02-21,48.2,47.8,4.0,240991,1172851,217223,183033,632050,431196,239,517,1172,1037,1225,592930,451898,593043,0
